wkt_geom,freewayNO,dir,Old_id,ID,catch,s_catch,start,end,lat,lon,cwb_gauge
"LineString (121.68178899999999487 25.10374699999999848, 121.69493127899239937 25.07901530688962666)",國3,N,03F-005.4N,03F0054N,8.4,10,汐止系統(連接國1),瑪東系統(連接台62),25.103747,121.681789,01B030
"LineString (121.64346700000000112 25.06561100000000053, 121.64182886928124105 25.06121799628277813)",國3,N,03F-011.6N,03F0116N,2.1,2.5,新台五路,汐止系統(連接國1),25.065611,121.643467,01AG00
"LineString (121.62815600000000416 25.05031899999999823, 121.61942693735105081 25.04001893296611314)",國3,N,03F-014.0N,03F0140N,1.7,2,南港(連接環東大道),新台五路,25.050319,121.628156,A1AA70
"LineString (121.62478900000000692 25.04238900000000001, 121.61942693735105081 25.04001893296611314)",國3,N,03F-015.0N,03F0150N,1.2,1.4,南港系統(連接國五)&南深路出口匝道,南港(連接環東大道),25.042389,121.624789,A1AA70
"LineString (121.59638099999999383 25.00737499999999969, 121.57572341344392441 25.00232080861051642)",國3,N,03F-020.1N,03F0201N,4.4,5.2,木柵(連接國3甲),南港系統(連接國五)&南深路出口匝道,25.007375,121.596381,C0AC80
"LineString (121.59336700000000064 24.99374399999999952, 121.58032213620147388 24.98152025517805441)",國3,N,03F-021.7N,03F0217N,6.3,7.5,新店(中興路),木柵(連接國3甲),24.993744,121.593367,A1AC40
"LineString (121.53057200000000648 24.96255000000000024, 121.52461934603762472 24.95902300622435632)",國3,N,03F-030.1N,03F0301N,4.1,4.9,安坑(中央、安康路),新店(中興路),24.96255,121.530572,A0A9M0
"LineString (121.50174400000000219 24.97858599999999996, 121.490420786848631 24.9927253837711234)",國3,N,03F-033.8N,03F0338N,4.8,5.7,中和(連接台64),安坑(中央、安康路),24.978586,121.501744,C0AG90
"LineString (121.45492500000000291 24.97524699999999953, 121.4451184209001724 24.97312759928404446)",國3,N,03F-039.4N,03F0394N,6.7,8,土城(連接台65),中和(連接台64),24.975247,121.454925,C0AD40
"LineString (121.41268100000000629 24.95050300000000121, 121.4020175245040889 24.97493000486378634)",國3,N,03F-044.7N,03F0447N,4.9,5.8,樹林,土城(連接台65),24.950503,121.412681,C0A520
"LineString (121.36527499999999691 24.94382500000000036, 121.36971437736431767 24.93903125723725012)",國3,N,03F-049.8N,03F0498N,3.3,3.9,三鶯,樹林,24.943825,121.365275,C0AC60
"LineString (121.34189999999999543 24.93602500000000077, 121.35601401927505094 24.93853200497364853)",國3,N,03F-052.5N,03F0525N,3.7,4.4,鶯歌系統(連接國2),三鶯,24.936025,121.3419,01A220
"LineString (121.31245800000000656 24.93022500000000008, 121.2832116352790166 24.92873587074902275)",國3,N,03F-055.9N,03F0559N,8.4,10,大溪(連接台66),鶯歌系統(連接國2),24.930225,121.312458,C0C490
"LineString (121.25083899999999915 24.87879200000000068, 121.26510817152978916 24.88293618372619065)",國3,N,03F-064.8N,03F0648N,5.5,6.6,龍潭,大溪(連接台66),24.878792,121.250839,C0C630
"LineString (121.20858099999999524 24.85655799999999971, 121.22140627034285387 24.87003839312516718)",國3,N,03F-069.8N,03F0698N,7.9,9.4,關西服務區,龍潭,24.856558,121.208581,C0C670
"LineString (121.17912800000000573 24.79733900000000091, 121.17390040006969798 24.79833992461407277)",國3,N,03F-078.3N,03F0783N,3,3.6,關西,關西服務區,24.797339,121.179128,C0D390
"LineString (121.12599699999999814 24.79143900000000045, 121.11889697802260457 24.76654245810562216)",國3,N,03F-084.6N,03F0846N,11.1,13.3,竹林,關西,24.791439,121.125997,C1D630
"LineString (121.03042499999999393 24.75844199999999873, 121.02499261373654349 24.73494711379798616)",國3,N,03F-096.1N,03F0961N,8.5,10.2,寶山,竹林,24.758442,121.030425,C0D580
"LineString (120.99726900000000285 24.75581100000000134, 121.02499261373654349 24.73494711379798616)",國3,N,03F-099.6N,03F0996N,1.9,2.2,新竹系統(連接國1),寶山,24.755811,120.997269,C0D580
"LineString (120.97226700000000221 24.75791399999999953, 120.96739109882717855 24.73345023795540953)",國3,N,03F-102.2N,03F1022N,3.2,3.8,茄苳,新竹系統(連接國1),24.757914,120.972267,O1D570
"LineString (120.94567499999999427 24.75309400000000082, 120.96739109882717855 24.73345023795540953)",國3,N,03F-105.1N,03F1051N,5.3,6.3,香山,茄苳,24.753094,120.945675,O1D570
"LineString (120.88963900000000251 24.71138300000000143, 120.88898756061138329 24.70905414215697604)",國3,N,03F-112.8N,03F1128N,5.6,6.7,西濱(連接台61),香山,24.711383,120.889639,C0E420
"LineString (120.86008599999999547 24.69800599999999946, 120.88898756061138329 24.70905414215697604)",國3,N,03F-116.1N,03F1161N,3.7,4.4,竹南,西濱(連接台61),24.698006,120.860086,C0E420
"LineString (120.83824199999999394 24.65596400000000088, 120.82078104397325546 24.63525671250312854)",國3,N,03F-121.5N,03F1215N,5.4,6.4,大山,竹南,24.655964,120.838242,01E390
"LineString (120.81400600000000622 24.62716100000000097, 120.82078104397325546 24.63525671250312854)",國3,N,03F-125.7N,03F1257N,5.7,6.8,後龍,大山,24.627161,120.814006,01E390
"LineString (120.76441699999999457 24.57964199999999977, 120.74847451154839462 24.56265950842051993)",國3,N,03F-133.2N,03F1332N,4.7,5.6,西湖服務區,後龍,24.579642,120.764417,C0E810
"LineString (120.73325300000000482 24.5311249999999994, 120.74847451154839462 24.56265950842051993)",國3,N,03F-139.5N,03F1395N,9.4,11.2,通霄,西湖服務區,24.531125,120.733253,C0E810
"LineString (120.68121700000000374 24.46730799999999917, 120.70456753055188415 24.47186046727976461)",國3,N,03F-148.5N,03F1485N,12.5,15,苑裡,通霄,24.467308,120.681217,C0E590
